                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.92985,                0.73852,                0.99422,                0.33892,                0.17489,                 0.1289,                 0.0442,                 2.4676,                 3.4138,                 1.9512,             0.00013203,             0.00013203,             0.00013203
                     87,                0.93593,                0.74663,                 1.0017,                 0.2167,                0.17754,                0.14585,                0.05148,                 2.4624,                 3.4247,                 1.9575,             0.00012378,             0.00012378,             0.00012378
                     88,                0.90404,                 0.7207,                0.98203,                0.55003,                0.11896,                 0.1157,                0.04796,                 2.4291,                 3.4459,                 1.9751,             0.00011554,             0.00011554,             0.00011554
                     89,                0.91659,                0.72417,                0.98985,                0.47166,                 0.1268,                0.11707,                0.04257,                 2.4574,                 3.3594,                 1.9386,             0.00010729,             0.00010729,             0.00010729
                     90,                0.88177,                0.69166,                0.97756,                0.45829,                0.16099,                0.12598,                0.04998,                 2.4306,                 3.4297,                 1.9099,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                 0.9079,                0.73207,                0.98321,                0.47021,                0.14979,                 0.1291,                0.05324,                 2.4714,                 3.3817,                 1.9878,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.87424,                0.68881,                0.97138,                0.48653,                0.14181,                0.12409,                0.04773,                 2.4557,                 3.4692,                 1.9392,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.87334,                0.69426,                0.97657,                 0.3624,                0.13285,                0.12724,                0.04888,                 2.4745,                 3.4399,                 1.9308,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                 0.8626,                0.67814,                0.97031,                0.32864,                0.14727,                0.12319,                0.05062,                 2.4649,                 3.4814,                 1.9351,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.89819,                0.70358,                0.98078,                 0.3246,                0.14296,                0.12361,                0.04853,                 2.4657,                 3.4422,                 1.9375,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.87163,                0.67804,                  0.967,                0.48446,                0.13485,                0.12488,                0.04898,                 2.4587,                 3.4221,                 1.9258,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                0.87972,                0.68575,                0.97707,                0.44706,                0.13899,                0.11577,                0.04502,                 2.4623,                  3.464,                 1.9425,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.85622,                0.66472,                 0.9715,                0.48289,                0.13756,                0.11998,                0.04704,                 2.4421,                 3.4688,                 1.9395,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.88251,                0.68625,                0.97293,                 0.3255,                0.13505,                0.12496,                0.04926,                  2.475,                 3.4862,                 1.9477,             2.4823e-05,             2.4823e-05,             2.4823e-05
